cell_id,crash_count,gi_zscore,gi_pvalue,hotspot_category,lat,lon
229,0,-0.5545490045878921,0.001,Not Significant,52.53524288189938,-1.9990934784972456
230,0,-0.5545490045878921,0.001,Not Significant,52.5397378168494,-1.9990934128737945
231,0,-0.5545490045878921,0.001,Not Significant,52.54423274836328,-1.9990933472324928
232,0,-0.5545490045878921,0.001,Not Significant,52.5487276764411,-1.9990932815733318
233,0,-0.5545490045878921,0.001,Not Significant,52.553222601083064,-1.999093215896308
234,0,-0.5545490045878921,0.001,Not Significant,52.55771752228929,-1.999093150201414
235,0,-0.5545490045878921,0.001,Not Significant,52.56221244005995,-1.999093084488644
236,0,-0.5545490045878921,0.001,Not Significant,52.566707354395184,-1.999093018757991
237,0,-0.5545490045878921,0.001,Not Significant,52.571202265295156,-1.999092953009449
238,0,-0.5545490045878921,0.001,Not Significant,52.57569717276002,-1.9990928872430127
239,0,-0.5545490045878921,0.001,Not Significant,52.5801920767899,-1.9990928214586745
240,0,-0.5545490045878921,0.001,Not Significant,52.58468697738499,-1.9990927556564289
241,0,-0.5545490045878921,0.001,Not Significant,52.589181874545424,-1.9990926898362686
242,0,-0.5545490045878921,0.001,Not Significant,52.59367676827135,-1.9990926239981883
243,0,-0.5545490045878921,0.001,Not Significant,52.598171658562926,-1.99909255814218
244,0,-0.554549004587892,0.001,Not Significant,52.602666545420284,-1.9990924922682407
245,0,-0.34877363608935585,0.485,Not Significant,52.38690783179263,-1.991749080740683
246,7,0.1313688904072288,0.288,Not Significant,52.391402880177736,-1.9917482694142488
247,13,0.38246383411079987,0.372,Not Significant,52.39589792512168,-1.9917474578734067
248,2,-0.05848338410034936,0.203,Not Significant,52.40039296662464,-1.991746646118083
249,3,-0.07073191793954796,0.304,Not Significant,52.40488800468673,-1.9917458341482035
250,8,0.12524462348762944,0.4,Not Significant,52.40938303930812,-1.991745021963691
251,2,-0.17484445557273592,0.416,Not Significant,52.41387807048894,-1.9917442095644702
252,0,-0.42593939927630703,0.205,Not Significant,52.41837309822936,-1.9917433969504683
253,0,-0.43206366619590625,0.194,Not Significant,52.42286812252952,-1.9917425841216063
254,1,-0.3157025947235197,0.363,Not Significant,52.42736314338957,-1.9917417710778107
255,6,-0.04011058334155147,0.43,Not Significant,52.43185816080967,-1.9917409578190057
256,7,0.07012622121123584,0.416,Not Significant,52.43635317478995,-1.9917401443451155
257,5,-0.10135325253754437,0.401,Not Significant,52.44084818533056,-1.991739330656064
258,1,-0.37082099699991333,0.221,Not Significant,52.445343192431665,-1.9917385167517774
259,0,-0.37694526391951266,0.333,Not Significant,52.44983819609342,-1.991737702632179
260,10,0.1742387588444238,0.48,Not Significant,52.454333196315964,-1.9917368882971922
261,3,0.021132085854441478,0.168,Not Significant,52.45882819309946,-1.9917360737467418
262,7,0.09462328888963302,0.361,Not Significant,52.463323186444015,-1.9917352589807527
263,0,-0.3585724631607147,0.373,Not Significant,52.467818176349844,-1.9917344439991485
264,0,-0.5055548692310978,0.043,Not Significant,52.472313162817066,-1.9917336288018528
265,0,-0.5545490045878921,0.001,Not Significant,52.4768081458458,-1.9917328133887902
266,0,-0.5545490045878921,0.001,Not Significant,52.48130312543626,-1.9917319977598857
267,0,-0.5545490045878921,0.001,Not Significant,52.48579810158853,-1.9917311819150625
268,0,-0.5545490045878921,0.001,Not Significant,52.49029307430281,-1.9917303658542438
269,0,-0.5545490045878921,0.001,Not Significant,52.494788043579256,-1.9917295495773557
270,0,-0.5545490045878921,0.001,Not Significant,52.49928300941797,-1.9917287330843192
271,0,-0.5545490045878921,0.001,Not Significant,52.503777971819154,-1.9917279163750614
272,0,-0.5545490045878921,0.001,Not Significant,52.50827293078293,-1.9917270994495033
273,0,-0.5545490045878921,0.001,Not Significant,52.51276788630943,-1.9917262823075699
274,0,-0.5545490045878921,0.001,Not Significant,52.517262838398864,-1.991725464949186
275,0,-0.5545490045878921,0.001,Not Significant,52.521757787051335,-1.9917246473742738
276,0,-0.5545490045878921,0.001,Not Significant,52.52625273226702,-1.991723829582758
277,0,-0.5545490045878921,0.001,Not Significant,52.53074767404607,-1.9917230115745612
278,0,-0.5545490045878921,0.001,Not Significant,52.535242612388615,-1.9917221933496077
279,0,-0.5545490045878921,0.001,Not Significant,52.539737547294806,-1.9917213749078213
280,0,-0.5545490045878921,0.001,Not Significant,52.54423247876484,-1.9917205562491256
281,0,-0.5545490045878921,0.001,Not Significant,52.548727406798804,-1.9917197373734434
282,0,-0.5545490045878921,0.001,Not Significant,52.55322233139692,-1.9917189182806985
283,0,-0.5545490045878921,0.001,Not Significant,52.55771725255927,-1.991718098970816
284,0,-0.5545490045878921,0.001,Not Significant,52.56221217028607,-1.991717279443716
285,0,-0.5545490045878921,0.001,Not Significant,52.56670708457742,-1.9917164596993244
286,0,-0.5545490045878921,0.001,Not Significant,52.571201995433505,-1.9917156397375635
287,0,-0.5545490045878921,0.001,Not Significant,52.57569690285447,-1.9917148195583567
288,0,-0.5545490045878921,0.001,Not Significant,52.580191806840446,-1.9917139991616286
289,0,-0.5545490045878921,0.001,Not Significant,52.5846867073916,-1.9917131785472992
290,0,-0.5545490045878921,0.001,Not Significant,52.589181604508106,-1.9917123577152958
291,0,-0.5545490045878921,0.001,Not Significant,52.59367649819011,-1.9917115366655391
292,0,-0.5545490045878921,0.001,Not Significant,52.59817138843771,-1.9917107153979527
293,0,-0.554549004587892,0.001,Not Significant,52.60266627525116,-1.9917098939124591
294,3,-0.2507853653757671,0.382,Not Significant,52.38690710716057,-1.9844025275982315
295,1,-0.13197458713554086,0.243,Not Significant,52.39140215542851,-1.984400969983297
296,19,0.6641801124123673,0.397,Not Significant,52.39589720025528,-1.9843994119571962
297,8,0.27222702955801253,0.165,Not Significant,52.400392241641,-1.9843978535197841
298,5,0.12524462348762944,0.165,Not Significant,52.40488727958585,-1.9843962946709155
299,12,0.5110734394223851,0.121,Not Significant,52.40938231408998,-1.9843947354104479
300,6,0.15586595808562598,0.181,Not Significant,52.413877345153495,-1.9843931757382358
301,7,-0.015613515663154295,0.375,Not Significant,52.41837237277662,-1.9843916156541337
302,4,-0.21159005709033168,0.259,Not Significant,52.42286739695944,-1.9843900551579978
303,5,-0.08298045177874648,0.444,Not Significant,52.42736241770211,-1.9843884942496834
304,8,0.12524462348762944,0.399,Not Significant,52.431857435004844,-1.9843869329290453
305,0,-0.14422312097473944,0.188,Not Significant,52.436352448867716,-1.9843853711959387
306,8,0.16811449192482458,0.313,Not Significant,52.44084745929091,-1.984383809050219
307,3,-0.13197458713554086,0.43,Not Significant,52.44534246627456,-1.9843822464917396
308,0,-0.24833565860792747,0.364,Not Significant,52.44983746981882,-1.9843806835203581
309,8,0.18036302576402316,0.29,Not Significant,52.45433246992388,-1.9843791201359267
310,18,0.6825529131711654,0.267,Not Significant,52.45882746658984,-1.984377556338301
311,5,0.03950488661323942,0.276,Not Significant,52.46332245981685,-1.9843759921273363
312,8,-0.027862049502352885,0.224,Not Significant,52.467817449605086,-1.9843744275028852
313,0,-0.46880926771350206,0.102,Not Significant,52.4723124359547,-1.9843728624648045
314,0,-0.5545490045878921,0.001,Not Significant,52.476807418865825,-1.9843712970129472
315,0,-0.5545490045878921,0.001,Not Significant,52.481302398338634,-1.9843697311471693
316,0,-0.5545490045878921,0.001,Not Significant,52.48579737437324,-1.9843681648673235
317,0,-0.5545490045878921,0.001,Not Significant,52.49029234696984,-1.984366598173264
318,0,-0.5545490045878921,0.001,Not Significant,52.494787316128544,-1.9843650310648457
319,0,-0.5545490045878921,0.001,Not Significant,52.49928228184954,-1.9843634635419236
320,0,-0.5545490045878921,0.001,Not Significant,52.503777244132934,-1.984361895604349
321,0,-0.5545490045878921,0.001,Not Significant,52.50827220297892,-1.984360327251979
322,0,-0.5545490045878921,0.001,Not Significant,52.512767158387625,-1.9843587584846647
323,0,-0.5545490045878921,0.001,Not Significant,52.51726211035922,-1.9843571893022616
324,0,-0.5545490045878921,0.001,Not Significant,52.52175705889384,-1.9843556197046222
325,0,-0.5545490045878921,0.001,Not Significant,52.526252003991615,-1.984354049691602
326,0,-0.5545490045878921,0.001,Not Significant,52.53074694565276,-1.9843524792630534
327,0,-0.5545490045878921,0.001,Not Significant,52.53524188387737,-1.9843509084188293
328,0,-0.5545490045878921,0.001,Not Significant,52.53973681866562,-1.9843493371587844
329,0,-0.5545490045878921,0.001,Not Significant,52.544231750017666,-1.984347765482772
330,0,-0.5545490045878921,0.001,Not Significant,52.54872667793362,-1.9843461933906446
